author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
David Steinberg,Will Shortz,Normal,2018-08-03,Friday,5,Daily,15487,,3,0,False,,
Sam Trabucco,Will Shortz,Normal,2018-08-04,Saturday,6,Daily,15486,,3,0,False,,
Erik Agard and Alison Ohringer,Will Shortz,Normal,2018-08-05,Sunday,0,Daily,15489,Ghosted,6,0,False,,
Mark Diehl and Andrea Carla Michaels,Will Shortz,Normal,2018-08-06,Monday,1,Daily,15515,,12,100,True,Gold,1278
Alex Eaton-Salners,Will Shortz,Normal,2018-08-07,Tuesday,2,Daily,15512,,3,100,True,,1932
Andrew Kingsley,Will Shortz,Normal,2018-08-08,Wednesday,3,Daily,15514,,19,100,True,,1932
Patrick Merrell,Will Shortz,Normal,2018-08-09,Thursday,4,Daily,15517,,5,59,False,,1090
Damon Gulczynski,Will Shortz,Normal,2018-08-10,Friday,5,Daily,15513,,3,0,False,,
Ryan McCarty,Will Shortz,Normal,2018-08-11,Saturday,6,Daily,15516,,6,0,False,,
Ross Trudeau,Will Shortz,Normal,2018-08-12,Sunday,0,Daily,15518,If I Were You ...,5,0,False,,
Lynn Lempel,Will Shortz,Normal,2018-08-13,Monday,1,Daily,15547,,3,100,True,,1739
Erik Agard and Andy Kravis,Will Shortz,Normal,2018-08-14,Tuesday,2,Daily,15544,,3,100,True,Gold,1587
Kathy Wienberg,Will Shortz,Normal,2018-08-15,Wednesday,3,Daily,15542,,3,46,False,,976
Alan Arbesfeld,Will Shortz,Normal,2018-08-16,Thursday,4,Daily,15546,,3,23,False,,515
Jeff Chen,Will Shortz,Normal,2018-08-17,Friday,5,Daily,15545,,3,0,False,,10
Mark Diehl,Will Shortz,Normal,2018-08-18,Saturday,6,Daily,15543,,3,0,False,,
Jacob Stulberg,Will Shortz,Normal,2018-08-19,Sunday,0,Daily,15541,Let's Change The Subject,11,0,False,,
Peter Gordon,Will Shortz,Normal,2018-08-20,Monday,1,Daily,15579,,3,100,True,,1850
John Lieb and Andrea Yañes,Will Shortz,Normal,2018-08-21,Tuesday,2,Daily,15582,,3,79,False,,1527
John Lampkin,Will Shortz,Normal,2018-08-22,Wednesday,3,Daily,15581,,3,0,False,,7
Kyle Dolan,Will Shortz,Normal,2018-08-23,Thursday,4,Daily,15578,,3,1,False,,52
Roland Huget,Will Shortz,Normal,2018-08-24,Friday,5,Daily,15580,,5,0,False,,
Sam Ezersky,Will Shortz,Normal,2018-08-25,Saturday,6,Daily,15577,,3,0,False,,
Olivia Mitra Framke,Will Shortz,Normal,2018-08-26,Sunday,0,Daily,15583,To The Point,7,0,False,,
Susan Gelfand,Will Shortz,Normal,2018-08-27,Monday,1,Daily,15630,,3,100,True,,1761
Brian Thomas,Will Shortz,Normal,2018-08-28,Tuesday,2,Daily,15628,,4,100,True,,1850
Alex Bajcz,Will Shortz,Normal,2018-08-29,Wednesday,3,Daily,15629,,3,98,False,,2249
Grant Thackray,Will Shortz,Normal,2018-08-30,Thursday,4,Daily,15627,,4,31,False,,1297
Peter Wentz,Will Shortz,Normal,2018-08-31,Friday,5,Daily,15625,,3,0,False,,1
Randolph Ross,Will Shortz,Normal,2018-09-01,Saturday,6,Daily,15626,,3,0,False,,
Tom McCoy,Will Shortz,Normal,2018-09-02,Sunday,0,Daily,15624,Going Head To Head,6,0,False,,
Trent H. Evans,Will Shortz,Normal,2018-09-03,Monday,1,Daily,15646,,3,100,True,Gold,806
Bruce Haight,Will Shortz,Normal,2018-09-04,Tuesday,2,Daily,15641,,3,100,True,Gold,2578
Erik Agard and Amanda Chung and  Karl Ni,Will Shortz,Normal,2018-09-05,Wednesday,3,Daily,15644,,6,100,True,Gold,2497
Jeff Chen,Will Shortz,Normal,2018-09-06,Thursday,4,Daily,15643,,3,99,False,,4933
